Turbine ID,Project State,Project Name,Year Online,Number of Project Turbines,Average Turbine Capacity,Turbine Manufacturer,Turbine Model,Total Rated Capacity,Hub Height,Total Height
3121555,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121563,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121528,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121581,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121556,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121588,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121587,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121567,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3039064,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121584,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121582,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121538,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121570,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121578,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121527,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121539,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121543,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121546,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121579,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121565,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121562,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121536,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121529,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121561,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121541,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3121572,ND,Baldwin,2010,64,102.4,GE Wind,GE1.6-91,1600,80,125.6
3120818,OK,Blue Canyon II,2005,73,146,Vestas,V110-2.0,2000,67,121.9
3120816,OK,Blue Canyon II,2005,73,146,Vestas,V110-2.0,2000,67,121.9
3120827,OK,Blue Canyon II,2005,73,146,Vestas,V110-2.0,2000,67,121.9
3120782,OK,Blue Canyon II,2005,73,146,Vestas,V110-2.0,2000,67,121.9
3120821,OK,Blue Canyon II,2005,73,146,Vestas,V110-2.0,2000,67,121.9
3105185,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105242,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105213,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105231,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105183,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105194,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105197,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105205,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105259,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105203,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105233,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105250,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105175,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105253,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105225,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105219,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105198,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105180,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105226,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105174,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105262,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105214,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105218,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105258,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105260,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105169,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105192,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105243,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105223,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105211,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105193,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105170,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105247,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105217,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105166,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105177,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105216,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105246,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105195,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105256,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105224,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105176,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105255,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105220,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105215,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105189,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105168,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105186,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105245,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105207,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105182,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105200,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105181,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105236,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105235,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105208,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105265,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105167,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105178,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105191,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105202,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105221,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105204,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105239,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105188,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105248,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105199,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105261,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105254,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105251,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105264,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105240,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105227,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105237,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105190,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105179,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105222,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105263,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105234,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105244,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105187,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105229,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105249,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105257,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105228,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105212,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105230,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105210,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105173,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105252,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105171,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105206,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105241,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105201,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3105209,TX,Bobcat Bluff,2012,100,162,GE Wind,GE1.62-91,1620,80,125.6
3085447,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085882,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085876,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3061767,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085879,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3061949,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085872,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085874,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085886,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3084999,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085883,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3062079,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3062214,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085890,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3061549,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3061740,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3061824,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3062178,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3061989,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085877,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3061682,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085514,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
3085878,TX,Callahan Divide,2017,76,114,GE Wind,GE1.5-87,1500,80,123.4
